Data,Label
"Assumption: All books are a collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other materials, fastened together to hinge at one side. Assumption: Harry Potter and the Philosopher's Stone is a book. Hypothesis: Therefore Harry Potter and the Philosopher's Stone is a collection of written, printed, illustrated, or blank sheets, made of paper, parchment, or other materials, fastened together to hinge at one side.",1
Assumption: All organisms are composed of one or more cells. Assumption: Trout are organisms. Hypothesis: Therefore trout are composed of one or more cells.,1
Assumption: All aircraft are powered by engines. Assumption: The Red Baron is an aircraft. Hypothesis: Therefore The Red Baron is powered by an engine.,1
Assumption: All Oscar nominees are talented. Assumption: Tom Hanks is an Oscar nominee. Hypothesis: Therefore Tom Hanks is talented.,1
Assumption: All Olympic athletes are in excellent physical condition. Assumption: Usain Bolt is an Olympic athlete. Hypothesis: Therefore Usain Bolt is in excellent physical condition.,1
Assumption: All patients who take this medication will experience side effects. Assumption: John is a patient who takes this medication. Hypothesis: Therefore John will experience side effects.,1
Assumption: All fast food is unhealthy. Assumption: McDonald's is a fast food restaurant. Hypothesis: Therefore McDonald's is unhealthy.,1
Assumption: All Smartphones have touch screens. Assumption: The new iPhone is a Smartphone. Hypothesis: Therefore the new iPhone has a touch screen.,1
Assumption: All people are human. Assumption: John is a person. Hypothesis: Therefore John is human.,1
Assumption: All books are writing. Assumption: The Catcher in the Rye is a book. Hypothesis: Therefore The Catcher in the Rye is writing.,1
Assumption: All history is about past events. Assumption: The American Revolution is history. Hypothesis: Therefore The American Revolution is about past events.,1
Assumption: All biology is the study of living organisms. Assumption: Mushrooms are biology. Hypothesis: Therefore mushrooms are the study of living organisms.,1
Assumption: All art is a form of expression. Assumption: Sculpture is art. Hypothesis: Therefore sculpture is a form of expression.,1
Assumption: All sports are a physical activity. Assumption: Basketball is a sport. Hypothesis: Therefore basketball is a physical activity.,1
Assumption: All health is the state of being free from illness or injury. Assumption: My health is good. Hypothesis: Therefore my health is the state of being free from illness or injury.,1
Assumption: All personality is the combination of characteristics or traits that forms an individual's distinctive character. Assumption: Introverted is a personality. Hypothesis: Therefore introverted is the combination of characteristics or traits that forms an individual's distinctive character.,1
Assumption: All finance is the study of money management. Assumption: Budgeting is finance. Hypothesis: Therefore budgeting is the study of money management.,1
Assumption: All writing is a form of communication. Assumption: This essay is writing. Hypothesis: Therefore this essay is a form of communication.,1
"Assumption: All animals are cute. Assumption: Dogs are animals. Hypothesis: Therefore, Dogs are cute.",1
"Assumption: All students are hard workers. Assumption: John is a student. Hypothesis: Therefore, John is a hard worker.",1
"Assumption: All men are mortal. Assumption: John is a man. Hypothesis: Therefore, John is mortal.",1
"Assumption: All airplanes can fly. Assumption: Pilatus is an airplane. Hypothesis: Therefore, Pilatus can fly.",1
"Assumption: All planets have moons. Assumption: Mars is a planet. Hypothesis: Therefore, Mars has a moon.",1
"Assumption: All professors can teach. Assumption: Dr.K is a professor. Hypothesis: Therefore, Dr.K can teach.",1
"Assumption: All trees are green. Assumption: The oak tree is a tree. Hypothesis: Therefore, the oak tree is green.",1
"Assumption: All dogs have four legs. Assumption: Bruno is a dog. Hypothesis: Therefore, Bruno has four legs.",1
"Assumption: All birds have wings. Assumption: The vulture is a bird. Hypothesis: Therefore, the vulture has wings.",1
"Assumption: All plants need water. Assumption: cactus is a plant. Hypothesis: Therefore, cactus needs water.",1
Assumption: A and B are clothes. Assumption: Clothes are normally comfortable. Assumption: A is possibly an exception to this rule. Hypothesis: B is comfortable.,1
Assumption: A and B are temperatures. Assumption: Temperatures are normally in F. Assumption: A is possibly an exception to this rule. Hypothesis: B is in F.,1
Assumption: Cats and Dogs are pets. Assumption: Pets normally need to be taken care of. Assumption: Cats are an exception to this rule. Hypothesis: Dogs need to be taken care of.,1
Assumption: The Earth and The Moon are in space. Assumption: Spaceships normally have to be launched. Assumption: The Moon is an exception to this rule. Hypothesis: Earth needs to be launched.,0
Assumption: Mars and Venus are planets. Assumption: Planets normally have an atmosphere. Assumption: Venus is an exception to this rule. Hypothesis: Mars has an atmosphere.,1
Assumption: Water and Ice are made of H2O. Assumption: H2O normally freezes at 0 degrees Celsius. Assumption: Water is an exception to this rule. Hypothesis: Ice freezes at 0 degrees Celsius.,1
Assumption: The Sun and The Moon are in space. Assumption: Objects in space normally have high gravity. Assumption: The Moon is an exception to this rule. Hypothesis: The Sun has gravity.,1
Assumption: Cats and Dogs are pets. Assumption: Pets normally need to be taken for a walk. Assumption: Cats are an exception to this rule. Hypothesis: Dogs need to be taken for a walk.,1
Assumption: Mars and Earth are planets. Assumption: Planets normally have one moon. Assumption: Mars is an exception to this rule. Hypothesis: Earyh has one moon.,1
Assumption: Eggs and bacon are breakfast foods. Assumption: Breakfast foods are typically eaten in the morning. Assumption: Eggs are possibly an exception to this rule. Hypothesis: Bacon is typically eaten in the morning.,1
Assumption: Computers and Playstations both use software. Assumption: Software is typically installed on a computer. Assumption: Playstations are possibly an exception to this rule. Hypothesis: Computers have software installed.,1
Assumption: Africa and Europe are both continents. Assumption: Continents are typically very large. Assumption: Europe is possibly an exception to this rule. Hypothesis: Africa is a large continent.,1
Assumption: John and Mary are both students. Assumption: Students are typically very young. Assumption: John is possibly an exception to this rule. Hypothesis: Mary is a young student.,1
Assumption: Trees and bushes are both plants. Assumption: Plants are typically very green. Assumption: Bushes are possibly an exception to this rule. Hypothesis: Trees are green plants.,1
Assumption: Dogs and cats are both animals. Assumption: Animals are typically very alive. Assumption: Dogs are possibly an exception to this rule. Hypothesis: Cats are alive animals.,1
Assumption: A and B are train stations. Assumption: Train stations are usually busy places. Assumption: A is possibly an exception to this rule. Hypothesis: B are busy places.,1
Assumption: A and B are planets. Assumption: Planets are usually round. Assumption: A is possibly an exception to this rule. Hypothesis: B are round.,1
Assumption: A and B are paintings. Assumption: Paintings are usually hung on walls. Assumption: A is possibly an exception to this rule. Hypothesis: B are hung on walls.,1
Assumption: A and B are literary characters. Assumption: Literary characters are normally smart. Assumption: A is possibly an exception to this rule. Hypothesis: B are smart.,1
Assumption: Movies and TV shows are typically shot in studios. Assumption: Studios are normally dark. Assumption: Movies and TV shows shot outdoors are an exception to this rule. Hypothesis: Movies and TV shows shot outdoors are typically shot during the day.,1
Assumption: Animals in the wild typically have to hunt or scavenge for food. Assumption: Animals in zoos are normally fed by humans. Assumption: Some animals in zoos are an exception to this rule. Hypothesis: Some animals in zoos hunt or scavenge for food.,1
Assumption: Dogs and humans are mammals. Assumption: Mammals normally have four legs. Assumption: humans are an exception to this rule. Hypothesis: Dogs have four legs.,1
Assumption: Ice cream and sprinkels are sweet food. Assumption: Sweets food are liked by children. Assumption: sprinkels is an exception to this rule. Hypothesis: Ice cream is liked by children,1
Assumption: Apples and Bananas are fruits. Assumption: Fruits are round. Assumption: Bananas are an exception to this rule. Hypothesis: Apples are round.,1
Assumption: Cars and trucks are vehicles. Assumption: Vehicles use gasoline. Assumption: Electric cars are an exception to this rule. Hypothesis: Cars use gasoline.,1
Assumption: Spiders and insects have multiple legs. Assumption: Insects have wings. Assumption: Spiders are an exception to this rule. Hypothesis: Spiders have multiple legs.,1
Assumption: Trees and bushes are plants. Assumption: Plants need sunlight to grow. Assumption: Mushrooms are an exception to this rule. Hypothesis: Trees need sunlight to grow.,1
Assumption: Rocks and pebbles are made of minerals. Assumption: Minerals are inorganic. Assumption: Organic minerals are an exception to this rule. Hypothesis: Rocks are inorganic.,1
Assumption: Roses and Lotus are flowers. Assumption: Flowers grow in clean areas. Assumption: Lotus is an exception to this rule. Hypothesis: Roses grow in clean areas,1
Assumption: Artichokes and broccoli are vegetables. Assumption: Vegetables are good for your eyes. Assumption: Broccoli is an exception to this rule. Hypothesis: Artichokes are good for your eyes,1
Assumption: Sugar and honey are sweeteners. Assumption: Sweeteners are used in baking. Assumption: Honey is an exception to this rule. Hypothesis: Sugar is used in baking.,1
Assumption: T-shirts and jeans are clothing. Assumption: Clothing is made of soft fabric. Assumption: Jeans are an exception to this rule. Hypothesis: T-shirts are made of soft fabric,1
Assumption: Tomatoes and fries are food. Assumption: Food is healthy for you. Assumption: Fries are an exception to this rule. Hypothesis: Tomatoes are healthy for you.,1
Assumption: Apples and oranges are fruit. Assumption: Fruit normally eaten with the peel. Assumption: Oranges are an exception to this rule. Hypothesis: Apples are eaten with the peal,1
Assumption: Knives and forks are utensils. Assumption: Utensils are made of wood. Assumption: Knives are an exception to this rule. Hypothesis: Spoons are made of wood.,1
Assumption: Dogs and lions are animals. Assumption: Animals are found in homes. Assumption: Lions are an exception to this rule. Hypothesis: Dogs are found in homes,1
Assumption: Salt and pepper are spices. Assumption: Spices are used always in curry. Assumption: Pepper is an exception to this rule. Hypothesis: Salt is always in curry,1
Assumption: Coffee and tea are beverages. Assumption: Beverages are typically hot or cold. Assumption: Tea is an exception to this rule. Hypothesis: Coffee is typically hot or cold,1
Assumption: Pianos and guitars are instruments. Assumption: Instruments are typically expensive. Assumption: Guitars are an exception to this rule. Hypothesis: Pianos are typically expensive.,1
Assumption: The Tables and chairs are furniture. Assumption: Furniture is typically made of wood. Assumption: The chairs are an exception to this rule. Hypothesis: The tables are typically made of wood.,1
Assumption: Dave and Chad are carpenters. Assumption: Carpenters are skilled craftsmen. Assumption: Dave is an exception to this rule. Hypothesis: Chas is not a skilled craftsman,0
Assumption: Cacti and trees are plants. Assumption: Plants grow everywhere on earth. Assumption: Cacti are an exception to this rule. Hypothesis: trees no not grow everywhere on the earth,0
Assumption: Rabbits and lions are animals. Assumption: Animals eat plants. Assumption: Lions are an exception to this rule. Hypothesis: Rabbits eat animals.,0
Assumption: Spoons and plates are silverware. Assumption: Silverware is made of metal. Assumption: Plates are an exception to this rule. Hypothesis: Spoons are made of metal.,1
Assumption: Glass and plastic are materials. Assumption: Materials can be recycled. Assumption: Plastic is an exception to this rule. Hypothesis: Glass can be recycled.,1
Assumption: Wood and metal are materials. Assumption: Materials can be recycled. Assumption: Metal is an exception to this rule. Hypothesis: Wood can be recycled.,1
Assumption: Mice and rats are animals. Assumption: Animals can be pets. Assumption: Rats are an exception to this rule. Hypothesis: Mice can be pets.,1
Assumption: Coconuts and bananas are fruits. Assumption: Fruits grow on trees. Assumption: Bananas are an exception to this rule. Hypothesis: Coconuts grow on trees.,1
Assumption: Bats and birds are animals. Assumption: Animals can see in the visble wavelength spectrum. Assumption: Bats are an exception to this rule. Hypothesis: birds can see in the visble wavelength spectrum,1
Assumption: Rivers and lakes are bodies of land. Assumption: Bodies of land have water. Assumption: New rivers are an exception to this rule. Hypothesis: Lakes have fish.,2
Assumption: The cat is sleeping. Assumption: Cats that sleep are lazy. Assumption: The cat is not lazy. Hypothesis: The cat is not sleeping.,1
Assumption: Tom is reading a book. Assumption: People who read books are smart. Assumption: Tom is not smart. Hypothesis: Tom is not reading a book.,1
Assumption: John is playing video games. Assumption: People who play video games are lazy. Assumption: John is not lazy. Hypothesis: John is not playing video games.,1
Assumption: Mary is watching TV. Assumption: People who watch TV are lazy. Assumption: Mary is not lazy. Hypothesis: Mary is not watching TV.,1
Assumption: The bird is flying. Assumption: Birds that fly are free. Assumption: The bird is not free. Hypothesis: The bird is not flying.,1
Assumption: The fish is swimming. Assumption: Fish that swim are free. Assumption: The fish is not free. Hypothesis: The fish is not swimming.,1
Assumption: The dog is running. Assumption: Dogs that run are happy. Assumption: The dog is not happy. Hypothesis: The dog is not running.,1
Assumption: The dog is barking. Assumption: Dogs that bark are happy. Assumption: The dog is not happy. Hypothesis: The dog is not barking.,1
Assumption: The bird is tweeting. Assumption: Birds that tweet are happy. Assumption: The bird is not happy. Hypothesis: The bird is not tweeting.,1
Assumption: The cat is meowing. Assumption: Cats that meow are happy. Assumption: The cat is not happy. Hypothesis: The cat is not meowing.,1
Assumption: Lana and her friends are at the beach. Assumption: People at the beach usually wear swimsuits. Assumption: Lana is not wearing a swimsuit. Hypothesis: Lana's friends are not wearing swimsuits.,0
Assumption: John and his friends are playing video games. Assumption: People playing video games usually sit down. Assumption: John is not sitting down. Hypothesis: John's friends are sitting down.,1
Assumption: Bill and his friends are at the park. Assumption: People at the park usually walk around. Assumption: Bill is not walking around. Hypothesis: Bill's friends are walking around.,1
Assumption: Mary and her friends are at the mall. Assumption: People at the mall usually shop. Assumption: Mary is not shopping. Hypothesis: Mary's friends are shopping.,1
Assumption: Mike and his friends are at the movies. Assumption: People at the movies usually watch the movie. Assumption: Mike is not watching the movie. Hypothesis: Mike's friends are watching the movie.,1
Assumption: Tom and his friends are at the restaurant. Assumption: People at the restaurant usually eat. Assumption: Tom is not eating. Hypothesis: Tom's friends are eating.,1
Assumption: Kim and her friends are at the club. Assumption: People at the club usually dance. Assumption: Kim is not dancing. Hypothesis: Kim's friends are dancing.,1
Assumption: Ann and her friends are at the park. Assumption: People at the park usually play games. Assumption: Ann is not playing any games. Hypothesis: Ann's friends are not playing games.,0
Assumption: Eva and her friends are at the beach. Assumption: People at the beach usually sunbathe. Assumption: Eva is not sunbathing. Hypothesis: Eva's friends are sunbathing.,1
Assumption: Brian and his friends are at the movies. Assumption: People at the movies usually buy popcorn. Assumption: Brian is not buying popcorn. Hypothesis: Brian's friends are buying popcorn.,1
Assumption: Person A and Person B are siblings. Assumption: Siblings normally have the same last name. Assumption: Person A's last name is different from Person B. Hypothesis: Person A or B has changed their last name.,1
Assumption: Chair A and Chair B are made of wood. Assumption: Wooden chairs are usually heavy. Assumption: Chair A is not heavy. Hypothesis: Chair B is not made of wood.,1
Assumption: Dish A and Dish B are both served hot. Assumption: Dishes that are served hot usually have spicy food. Assumption: Dish A does not have spicy food. Hypothesis: Dish B is not served hot.,0
Assumption: Product A and Product B are from X company. Assumption: Products from X company usually have faulty features. Assumption: Product A does not have faulty features. Hypothesis: Product B is from company X.,1
Assumption: The TV and the computer are on. Assumption: Electronics that are on use electricity. Assumption: The TV is not using electricity. Hypothesis: The computer is using electricity,1
Assumption: Oxygen and Iodine are both elements. Assumption: Such elements typically exist as gases. Assumption: Iodine does not exist as a gas. Hypothesis: Oxygen exists as a gas.,1
Assumption: All planets orbit around the sun. Assumption: Planets typically take more than a year to orbit the sun. Assumption: Certain celestial bodies take less than a year to orbit the sun. Hypothesis: Certain celestial bodies are not planets.,1
Assumption: All creatures on Mars are aliens. Assumption: All aliens have green skin. Assumption: Some creatures on Mars do not have green skin. Hypothesis: Some creatures on Mars are aliens.,1
Assumption: Jill is a human. Assumption: Humans are born with two eyes. Assumption: Jill is not born with two eyes. Hypothesis: Jill is not human.,1
Assumption: Sodium and Chlorine are both elements. Assumption: Elements in the periodic table are normally very reactive. Assumption: Chlorine is not very reactive. Hypothesis: Sodium is reactive.,1
Assumption: Person A and B are tall. Assumption: Tall people are normally weigh a lot. Assumption: Person A does not weigh a lot. Hypothesis: Person B weighs a lot.,1
Assumption: Person A and B are in a relationship. Assumption: People in a relationship are normally happy. Assumption: Person A is not happy. Hypothesis: Person B is happy.,2
Assumption: Person A and B are co-workers. Assumption: Co-workers normally have the same job title. Assumption: Person A's job title is different from Person B. Hypothesis: Person A or B has changed their job title.,1
Assumption: Person A and B are married. Assumption: Married people normally live together. Assumption: Person A does not live with Person B. Hypothesis: Person A or B is not married.,1
Assumption: Person A and B are friends. Assumption: Friends normally have the same interests. Assumption: Person A's interests are different from Person B. Hypothesis: Person A or B has changed their interests.,1
Assumption: A and B are brothers. Assumption: Brothers normally have the same hair color. Assumption: A's hair color is different from B. Hypothesis: A or B has dyed their hair.,1
Assumption: A and B are dogs. Assumption: Dogs normally have four legs. Assumption: A only has three legs. Hypothesis: B has four legs.,1
Assumption: Person A is from Country X. Assumption: People from Country X normally speak Language Y. Assumption: Person A cannot speak Language Y. Hypothesis: Person A has not lived in Country X for long.,2
Assumption: The cat is on the mat. Assumption: The mat is usually in the living room. Assumption: The cat is not in the living room. Hypothesis: The cat is not on the mat.,1
Assumption: The sun is out. Assumption: The sun is normally visible during the day. Assumption: It is nighttime. Hypothesis: The sun is not visible,1
Assumption: Person A is taking a language class. Assumption: Language classes are difficult. Assumption: Person A is not struggling in the class. Hypothesis: The language class is difficult.,0
Assumption: Person A is a dancer. Assumption: Dancers are flexible. Assumption: Person A is not flexible. Hypothesis: Person A is a dancer.,0
Assumption: Person A is studying art. Assumption: People who study art are creative in their ideas. Assumption: Person A is not creative in ideas. Hypothesis: Person A is studying art.,0
Assumption: The airplane and the helicopter are both flying. Assumption: Airplanes and helicopters both have engines. Assumption: The airplane's engine is not working. Hypothesis: The helicopter's engine is not working.,0
Assumption: The airplane is flying in the sky. Assumption: Flying airplanes normally have a working GPS. Assumption: The airplane does not have a GPS working. Hypothesis: The airplane is flying in the sky.,0
Assumption: Show A and Show B are both TV series. Assumption: TV series typically have multiple seasons. Assumption: Show A only has one season. Hypothesis: Show B has one seasons.,0
Assumption: Person A and B are both podcast hosts. Assumption: Podcast hosts typically interview guests. Assumption: Person A is not interviewing a guest. Hypothesis: Person B is interviewing a nobody.,0
Assumption: Cartoons are generally for children. Assumption: Children are not allowed to watch R-rated movies. Assumption: R-rated movies are not cartoons. Hypothesis: R-rated movies are for children.,0
Assumption: Bugs Bunny and Daffy Duck are cartoon characters. Assumption: Cartoon characters are normally not real. Assumption: Bugs Bunny is not real. Hypothesis: Daffy Duck is not real.,0
Assumption: A baby is born in Country X. Assumption: Babies born in Country X normally have names that are popular in Country X. Assumption: This baby does not have a name that is popular in Country X. Hypothesis: This baby was born in Country Y.,2
Assumption: Cathy is a singer. Assumption: Singers are normally good at singing. Assumption: Cathy is not good at singing. Hypothesis: All singers other than Cathy are good at singing.,1
Assumption: Frank is a teacher. Assumption: Teachers are normally good at inspiring students. Assumption: Frank is not good at inspiring students. Hypothesis: All teachers other than Frank are good at inspiring students.,1
Assumption: George is a chef. Assumption: Chefs are normally good at making good food. Assumption: George is not good at makeing good food. Hypothesis: All chefs other than George are good at cooking.,1
Assumption: Harry is a plumber. Assumption: Plumbers are normally good at fixing pipes. Assumption: Harry is not good at fixing pipes. Hypothesis: All plumbers other than Harry are good at fixing pipes.,1
Assumption: Ivy is a writer. Assumption: Writers are normally good at writing. Assumption: Ivy is not good at writing. Hypothesis: All writers other than Ivy are good at writing.,1
Assumption: John is a pilot. Assumption: Pilots are normally good at flying. Assumption: John is not good at flying. Hypothesis: All pilots other than John are good at flying.,1
Assumption: Lisa is a salesperson. Assumption: Salespeople are normally good at selling. Assumption: Lisa is not good at selling. Hypothesis: All salespeople other than Lisa are good at selling.,1
Assumption: Mary is a secretary. Assumption: Secretaries are normally good at typing. Assumption: Mary is not good at typing. Hypothesis: All secretaries other than Mary are good at typing.,1
Assumption: Nancy is a nurse. Assumption: Nurses are normally good at caring for patients. Assumption: Nancy is not good at caring for patients. Hypothesis: All nurses other than Nancy are good at caring for patients.,1
Assumption: Oscar is a waiter. Assumption: Waiters are normally good at serving food. Assumption: Oscar is not good at serving food. Hypothesis: All waiters other than Oscar are good at serving food.,1
Assumption: The economy is in a recession. Assumption: Recessions are normally caused by a decrease in consumer spending. Assumption: Consumer spending has not decreased. Hypothesis: All recessions other than this one are caused by a decrease in consumer spending.,1
Assumption: John is on a diet. Assumption: People on diets normally eat healthy food. Assumption: John does not eat healthy food. Hypothesis: All people on diets other than John eat healthy food.,1
Assumption: Michael is a soccer player. Assumption: Soccer players are normally in good shape. Assumption: Michael is not in good shape. Hypothesis: All soccer players other than Michael are in good shape.,1
Assumption: The stock market is crashing. Assumption: Stock market crashes are normally caused by a decrease in consumer confidence. Assumption: Consumer confidence has not decreased. Hypothesis: All stock market crashes other than this one are caused by a decrease in consumer confidence.,1
Assumption: George is lazy. Assumption: Lazy people are normally not successful. Assumption: George is successful. Hypothesis: All lazy people other than George are not successful.,1
Assumption: Jennifer is a party animal. Assumption: Party animals are normally not responsible. Assumption: Jennifer is responsible. Hypothesis: All party animals other than Jennifer are not responsible.,1
Assumption: Lisa is a good driver. Assumption: Good drivers are normally careful. Assumption: Lisa is not careful. Hypothesis: All good drivers other than Lisa are careful.,1
Assumption: Bill is rich. Assumption: Rich people are normally lavish spenders. Assumption: Bill is not a lavish spender. Hypothesis: All rich people other than Bill are lavish spenders.,1
Assumption: John is a good worker. Assumption: Good workers are normally punctual. Assumption: John is not punctual. Hypothesis: All good workers other than John are punctual.,1
"Assumption: Team A lost the game. Assumption: When the team loses the game, the coach is angry. Assumption: The coach is not angry. Hypothesis: All teams other than team A that lose their game have coaches that are angry.",1
Assumption: The United States is a developed country. Assumption: Developed countries are normally responsible for a large amount of pollution. Assumption: The United States is not responsible for a large amount of pollution. Hypothesis: All developed countries other than the United States are responsible for a large amount of pollution.,1
Assumption: Cars are a type of vehicle. Assumption: Vehicles are normally a major contributor to global warming. Assumption: Cars are not a major contributor to global warming. Hypothesis: All vehicles other than cars are a major contributor to global warming.,1
Assumption: Trucks are a type of vehicle. Assumption: Vehicles are normally a minor contributor to global warming. Assumption: Trucks are not a minor contributor to global warming. Hypothesis: All vehicles other than trucks are a minor contributor to global warming.,1
Assumption: John is a criminal. Assumption: Criminals are normally dangerous. Assumption: John is not dangerous. Hypothesis: All criminals other than John are dangerous.,1
Assumption: Anne is an adventurer. Assumption: Adventurers are normally brave. Assumption: Anne is not brave. Hypothesis: All adventurers other than Anne are brave.,1
Assumption: Bill is a lawyer. Assumption: Lawyers are normally skilled presenters of argument. Assumption: Bill is not a skilled presenters of argument. Hypothesis: All lawyers other than Bill are skilled presenters of argument.,1
Assumption: John is a criminal. Assumption: Criminals are normally not law-abiding. Assumption: John is law-abiding. Hypothesis: All criminals other than John are not law-abiding.,1
Assumption: The Rolling Stones are a rock band. Assumption: Rock bands are normally loud. Assumption: The Rolling Stones are not loud. Hypothesis: All rock bands other than The Rolling Stones are loud.,1
Assumption: A is a comedian. Assumption: Comedians are normally creative in presenting content. Assumption: A is not creative in presenting content. Hypothesis: All comedians other than A are creative in presenting content.,1
Assumption: The moon festival is a Chinese festival. Assumption: Chinese festivals are normally celebrated with mooncakes. Assumption: The moon festival is not celebrated with mooncakes. Hypothesis: All Chinese festivals other than the moon festival are celebrated with mooncakes.,1
Assumption: Diwali is a festival. Assumption: Festivals are normally celebrated by few people. Assumption: Diwali is not celebrated by few people. Hypothesis: All festivals other than Diwali are celebrated by few people.,1
Assumption: Cyprus is a country. Assumption: Most countries are normally populous. Assumption: Cyprus is not populous. Hypothesis: Most countries other than Cyprus are populous.,1
Assumption: The Revolution was a historical event. Assumption: Historical events are normally important. Assumption: The  Revolution is not important. Hypothesis: All historical events other than the Revolution are important.,1
Assumption: Supply chain management is a process. Assumption: Processes are normally complex. Assumption: Supply chain management is not complex. Hypothesis: All processes other than supply chain management are complex.,1
Assumption: Security is important. Assumption: Important things are normally expensive. Assumption: Security is not expensive. Hypothesis: All important things other than security are expensive.,1
Assumption: Operations are a critical part of a business. Assumption: Critical things are normally important. Assumption: Operations are not important is certain applications. Hypothesis: All critical things other than operations are important in certain applications.,1
Assumption: Human resources are a department in a company. Assumption: Departments are normally organized. Assumption: Human resources are not organized. Hypothesis: All departments other than human resources are organized.,1
Assumption: Information technology is a field of study. Assumption: Fields of study are normally academic. Assumption: Information technology is not so academic. Hypothesis: All fields of study other than information technology are academic.,1
Assumption: Finance is a industry. Assumption: Industries are normally regulated. Assumption: Finance is not regulated. Hypothesis: All industries other than finance are regulated.,1
Assumption: Marketing is a function of a business. Assumption: Functions of businesses are normally important. Assumption: Marketing is not important. Hypothesis: All functions of businesses other than marketing are important.,1
Assumption: Whales are aquatic animals. Assumption: Aquatic animals are normally found deep in water. Assumption: Whales are not found deep in water. Hypothesis: All aquatic animals other than goldfish are found deep in water.,2
Assumption: Computers are electronic devices. Assumption: Electronic devices are normally always powered by electricity. Assumption: Computers are not always powered by electricity. Hypothesis: All electronic devices other than computers are not normally always powered by electricity.,0
Assumption: The iPhone 5 is a smart phone. Assumption: Smart phones are normally equipped with a dual sim. Assumption: The iPhone 5 is not equipped with a dual sim. Hypothesis: All smart phones other than the iPhone 8 are equipped with a dual sim.,2
Assumption: Playstation 3 is the best selling console of all time. Assumption: The best selling console of all time is the most popular. Assumption: Playstation 3 is not the most popular. Hypothesis: All consoles other than Playstation 3 are not more popular.,0
Assumption: Harry Potter and the Goblet of Fire is the most popular book ever. Assumption: The most popular book ever is the best selling book. Assumption: Harry Potter and the Goblet of Fire is not the best selling book. Hypothesis: All books other than Harry Potter and the Goblet of Fire are not better selling.,0
Assumption: Twitter is the most popular social media site. Assumption: The most popular social media site is the most used. Assumption: Twitter is not the most used. Hypothesis: All social media sites other than Reddit are more used.,2
Assumption: Following a hunch is a form of going with your gut. Assumption: Gut feelings are normally based on evidence. Assumption: Following a hunch is not based on evidence. Hypothesis: All forms of going with your gut other than following a hunch are based on evidence.,1
Assumption: Gut feeling is a form of intuition. Assumption: Intuitions are normally based on evidence. Assumption: Gut feeling is not based on evidence. Hypothesis: All forms of intuition including gut feeling are based on evidence.,0
Assumption: Intuition is a form of cognition. Assumption: Cognitions are normally based on evidence. Assumption: Intuition is not based on evidence. Hypothesis: All forms of cognition other than intuition are not based on evidence.,0
Assumption: Mary is in a relationship. Assumption: People who are in relationships are normally happy. Assumption: Mary is not happy. Hypothesis: All people who are in relationships other than Mary are sad.,0
